name,operator,output,source,method,wikidata_id,latitude,longitude
"Parc éolien New Richmond New Richmond, Saint-Alphonse et Caplan","MW Intermediary LP","68 MW","wind",,,,
"Centrale de Rapide-2",,"67 MW","hydro",,,,
"Centrale de Rapide-7",,"67 MW","hydro","water-storage",,,
"Slave Falls Generating Station","Manitoba Hydro","67 MW","hydro","run-of-the-river",Q65211728,,
"Blue Trail Wind","TransAlta Renewables","66 MW","wind",,,,
"Grand Falls Generating Station","New Brunswick Power Corporation","66 MW","hydro",,Q65211697,,
"McLymont Creek Hydroelectric Project","Coast Mountain Hydro","66 MW","hydro","run-of-the-river",,,
"McLymont Creek Hydroelectric Project",,"66 MW","hydro",,,,
"Upper Bonnington Generating Station","FortisBC","66 MW","hydro","run-of-the-river",Q61162271,,
"Victoria Junction Combustion Turbines","Nova Scotia Power","66 MW","diesel","combustion",,,
"Williams Lake Power Plant","Atlantic Power Corporation","66 MW","biomass","combustion",,,
"Strathcona Dam Generating Station","BC Hydro","64 MW","hydro","water-storage",,,
"Centrale Jim-Gray","Produits forestiers Resolu","63 MW","hydro","water-storage",,,
"Kettles Hill Wind Farm",,"63 MW","wind",,,,
"Glen Dhu Wind","Capstone Infrastucture","62 MW","wind","wind_turbine",,,
"Centrale de la chute Allard","Hydro-Québec","62 MW","hydro","water-storage",Q2944490,,
"Jimmie Creek Hydroelectric Project","Innergex","62 MW","hydro",,Q61375562,,
"MacKay Generating Station","Brookfield Renewable Energy","62 MW","hydro","run-of-the-river",,,
"Thunder Bay Abibow power station",,"62 MW","biomass",,,,
"Buffalo Atlee Wind Farm","Capstone Infrastructure","61 MW","wind",,,,
"Buntzen powerhouse #1","BC Hydro","60 MW","hydro","water-storage",,,
"Wahleach Power Station",,"60 MW","hydro",,Q61375377,,
"[unnamed]","Nova Scotia Power","60 MW","biomass","combustion",,,
"NextEra Adelaide Wind Energy Centre","NextEra Energy Canada","60 MW","wind",,,,
"Parc éolien de Montagne Sèche","Cartier Énergie Éolienne","58 MW","wind","wind_turbine",,,
"Bow Lake Wind Farm","Nodin Kitagan Limited Partnership","58 MW","wind",,,,
"Claresholm Solar 1","Capstone Infrastructure","58 MW","solar","photovoltaic",,,
"Centrale de Bryson",,"56 MW","hydro","run-of-the-river",Q2944464,,
"Ghost Lake Hydroelectric Plant","TransAlta","56 MW","hydro","water-storage",,,
